sceneID,character,character_image,dialogue,dialogue_audio,main_skill,answer1,answer2,answer3,score1,score2,score3,next_scene1,next_scene2,next_scene3,background,background_music
intro_0,Me,NA,"Oh Ã¤,Ã¼, where am I ? What is this place ?",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reception,
intro_0,Me,NA,Is there anyone ?,test2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reception,
intro_0,Doctor,Doctor,"Hi there ! Welcome to this Interactive Game. I'm the director of this Hospital, and also a doctor.",test3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reception,
intro_0,Me,Doctor,"(Oh, ok ?)",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reception,
intro_0,Doctor,Doctor,I'm very pleased to have you here. How do you feel ?,test1,Task,"Well, I feel great, but...",I've never wanted to be here !,"Hum... I, I don't really know.",5,-5,5,intro_0A,intro_0B,intro_0C,reception,
intro_0A,Doctor,Doctor Good,This is wonderful ! I hope you're not too afraid of what will happens next.,test1,NA,NA,NA,NA,NA,NA,NA,intro_1,intro_1,intro_1,reception,
intro_0B,Doctor,Doctor Bad,"Oh, don't leave yet, the fun hasn't began yet !",test1,NA,NA,NA,NA,NA,NA,NA,intro_1,intro_1,intro_1,reception,
intro_0C,Doctor,Doctor,"I know, I know. You will understand a bit more later.",test1,NA,NA,NA,NA,NA,NA,NA,intro_1,intro_1,intro_1,reception,
intro_1,Me,Doctor,(What does he means ? Now I'm afraid !!),test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reception,
intro_1,Doctor,Doctor,"In this game you are going to meet lots of singular people. Some of them are nice, some others are more difficult to handle, but I hope you will be able to understand all of them !",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reception,
intro_1,Doctor,Doctor Good,So? Are we ready to start ?,test1,Empathy,Let's do this !!,"No, no, I don't want to talk to people...","Huh, guess I have no choice.",5,-5,-5,auto,auto,auto,reception,
nurse_0,Me,NA,"(Oh, so now I'm in the corridor)",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corridor,
nurse_0,Nurse,Nurse,"Hi, nice to meet you !",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corridor,
nurse_0,Me,Nurse,"Oh, hello ! Nice to meet you too.",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corridor,
nurse_0,Nurse,Nurse,Are you new here ?,test1,Task,"Yes, and I'm a bit afraid...",I can ask you the same.,New to what ?,8,-3,2,nurse_0A,nurse_0B,nurse_0C,corridor,
nurse_0A,Nurse,Nurse Good,"Aww no, don't be. My colleagues and me will help you. Do not hesitate to ask us.",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corridor,
nurse_0A,Me,Nurse,Thanks a lot... That's really nice !,test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corridor,
nurse_0A,Me,Nurse,(It seems that everything will be okay !,test1,NA,NA,NA,NA,NA,NA,NA,end,end,end,corridor,
nurse_0B,Nurse,Nurse Bad,Well... I guess I'm here for the same reason as you ?,test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corridor,
nurse_0B,Me,Nurse Bad,(Wow this dude seems more serious than expected... This begins badly...),test1,NA,NA,NA,NA,NA,NA,NA,end,end,end,corridor,
nurse_0C,Nurse,Nurse,Oh... Are you lost ?,test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corridor,
nurse_0C,Me,Nurse,Yes. I have no idea of why neither how I'm here.,test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corridor,
nurse_0C,Me,Nurse,(I hope it will be okay in the future !),test1,NA,NA,NA,NA,NA,NA,NA,end,end,end,corridor,
girl_0,Little Girl,Little Girl,[...],test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room1,
girl_0,Me,Little Girl,(This girl looks a bit sad... Maybe I should talk to her ?),test1,Empathy,"Excuse-me, can I help you ?",*Ignore her*,Is everything okay ?,6,-10,4,girl_0A,girl_0B,girl_0C,room1,
girl_0A,Little Girl,Little Girl Good,"I don't think so, but thanks for asking.",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room1,
girl_0A,Me,Little Girl Good,(Looks like I did good to ask her. Now she seems a bit better !),test1,NA,NA,NA,NA,NA,NA,NA,end,end,end,room1,
girl_0B,Little Girl,Little Girl Bad,*Looks at you with an angry face*,test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room1,
girl_0B,Me,Little Girl Bad,"(Wow, now she looks even more angry ! Maybe I should have talked to her...)",test1,NA,NA,NA,NA,NA,NA,NA,end,end,end,room1,
girl_0C,Little Girl,Little Girl,"Well, it obviously looks like that not everything is okay... But still, thanks for asking.",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room1,
girl_0C,Me,Little Girl,(Poor girl... I hope I will be able to help her.),test1,NA,NA,NA,NA,NA,NA,NA,end,end,end,room1,
woman_0,Grumpy Woman,Grumpy Woman,*Doesn't seem really happy*,test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room3,
woman_0,Me,Grumpy Woman,"(Oh my... This woman looks so angry, I could excuse myself to her for no reason... Should I say something ?)",test1,Empathy,"Is everything okay, Ma'am ?",Don't make that face !,...,4,-6,0,woman_0A,woman_0B,woman_0C,room3,
woman_0A,Grumpy Woman,Grumpy Woman Good,"No, thank you sweetie, but I'm fine.",test1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,room3,
